CURRENT POPULATION
010011110111011101000000011001011001010000110111001110001111001101100 0.9688000082969666 0.9040935142363157
001011111000001101000000101011101001010000010010101110001111011101100 0.9605000019073486 0.8635214839918912
000010111110001000000000101001001011011100111110100110011110110101100 0.9433000087738037 0.8747182479318307
001100000100011010010010111001000000010000000111011101001110011101100 0.9158999919891357 0.8224408091331015
000111110101001000000000101001001110011100011111001111001001000101100 0.9466999769210815 0.9099912023057742
000010111110001100000000100001001011010000111110100110010111000101100 0.9458000063896179 0.8673854650435399
001011101000001101000000101011101001010000010010101100000111011101100 0.9563999772071838 0.8608627077332117
001100100000011010010010111001000011010000000010101110001111011101110 0.9437999725341797 0.8424691857758516
000011110111011011000000111011101001010000011111001000000101001101100 0.9555000066757202 0.8835937561733382
110111111100001101000000011001111001010000110111001111001111011101100 0.9722999930381775 0.9590714217043247
001011101000001101000000101011101000010000010010101010000101000100100 0.9477999806404114 0.8531217870855691
010011110101011101010000011001111110110000011111001110001101011101100 0.9453999996185303 0.8694303567920412
000010111110001100000000101001001011011100111110100110010101000101100 0.9394999742507935 0.8604094151939665
001000100000011101000000011001110010110000011111011110001110110100100 0.9017999768257141 0.7913754898674634
001100100100011010010010111001000001010000000011011110000101000100100 0.9107999801635742 0.8097795742004449
001000100000011101000000111011101001011000011111001101001110011101100 0.9549999833106995 0.8193834890820542
001000100000011101000010111011101001010000011111001111000101000100100 0.9639999866485596 0.8131700567647714
000011110101010111010000111011101011010000011111001110000101000100100 0.9498000144958496 0.8734767990452902
000010111110001100000001111001000011010100010010100100000101011101100 0.9315999746322632 0.8607361546695121
001001101000001000000000111011001001110000011111000000000011001101100 0.9678999781608582 0.8518507460854491
110111111100111011000000111011101001010000010110001101010101010101110 0.11349999904632568 0.11195578137222602
000010111110001000001000100001001011010100010010101110000101011100100 0.8970000147819519 0.8320964886660036
000010111110101100000000101001001011110000010111001100001111100101100 0.9645000100135803 0.8893441650774572
001000100000011101000001111011101001011100011111001110000101000101100 0.9735999703407288 0.8163006554047266
000111110101001000000000101001001110010000011111001111001001000100100 0.944599986076355 0.9099003947511012
001100100100011010010010111001000001010001000011011111001110011101100 0.9060999751091003 0.8080128438195615
011001100000011101000000111011101001110000011111001110000101010101110 0.9607999920845032 0.8072027144383411
110111111100101011000000111011101001010001011011011101001110011101100 0.9138000011444092 0.8830291847793423
001100100100011010010010111001000001010000000111001000000101011101110 0.10100000351667404 0.08952884073927007
011001100000011101000000111011101001010000011110101110001101011101100 0.9660000205039978 0.8222500174528077
001011101000001101000000101011101001010000010011001110000101010101110 0.9259999990463257 0.8285263149361861
001100100100011010010000111001000001010000000011011000001101011101100 0.9290000200271606 0.8276096008050304
110111111100101011000010111011101001010000011111001101000110011101100 0.9383000135421753 0.9047892987728119
000011110101010111010000111011101110010000110111001111000101000100100 0.9532999992370605 0.9055465669932746
001000100000001011000011101011100001010000011111001110000101001100100 0.9280999898910522 0.8073522871246144
001100100100011010010010111001000001010000110111001110001110001101100 0.9657999873161316 0.8621071759006463
000011110111011101000000011001001001010000000011011101001111011101100 0.9527999758720398 0.8926975655201858
001001101000001000000000111010101001110000110111001111010101010100100 0.9642000198364258 0.8875611353381493
001000100001011101000000111111001001010000011111001111000111001101100 0 0.0
000011110000011101000000111011101001011000011111001110000111010101100 0.8723000288009644 0.8033171183600718
001000101100011000000000111011100001010000111100100110000101000100100 0.9361000061035156 0.8190875053405762
001011101000001000000000111011101101010000011111001111000101001101110 0.0957999974489212 0.08333622227061768
001001101000001101000000101011101001010000010010101110001111011101100 0.9621999859809875 0.86298280160486
001100100010101000000010111001000011010000010111001100000101100101100 0 0.0
000010111100011010010000101001001011010000000010100100001111011101100 0.9370999932289124 0.86755639447352
000011111101011000010000101001001011011100111110100110011111111101100 0.9617999792098999 0.8820589095049974
000010111110101100000000111010101001010000000010101100000110010101100 0.941100001335144 0.8625295002960318
